FIR Number,District ID,Police Station ID,Date ,Time,Complainant,Act,Section,Mobile Number of complainant
4589,Agra,25,07-Apr-2021,6:22:26,Amrusha Khodaiji,Cow Protection,3,6127913542
5704,Agra,29,24-Apr-2021,19:36:10,Bhargava Shyamal Shourov,Indian Penal Code,141,8910049952
3508,Aligarh,1658,28-Aug-2019,8:43:53,Vasu Soundar,Indian Penal Code,141,8079695281
5715,Aligarh,55,21-May-2019,11:02:09,Satyakam Ranjan,Indian Penal Code,295-A,7979936995
8475,Aligarh,69,11-Apr-2021,19:27:33,Chandrakumar Kurupath,Goonda Act,3,8709332956
8414,Aligarh,1657,06-Mar-2021,16:29:46,Shivshankar Nagesh,Goonda Act,3,6749827508
2340,Aligarh,63,20-Mar-2020,18:51:16,Gyan Sandananda Suneina,Indian Penal Code,295-A,8207541492
5794,Aligarh,56,05-Feb-2019,22:30:21,Kantilal Pradip,Indian Penal Code,420,6127984116
2406,Aligarh,57,29-Apr-2017,4:35:59,Dhanishta Ruksana Madhabi,Immortal Traffic Prevention Act,3,7979069423
6883,Aligarh,58,29-May-2021,11:57:30,Atreyi Majhi,Indian Penal Code,441,8840891413
3361,Ambedkar Nagar,73,09-Jan-2020,21:35:10,Dhanyata Varana Vichur,Indian Penal Code,390,6127900701
1445,Ambedkar Nagar,74,26-Mar-2018,5:23:50,Asha Surnilla,Indian Penal Code,420,7192347218
5356,Amethi,1647,17-Feb-2017,0:59:38,Surotama Puskara,Goonda Act,3,8912609285
5603,Amethi,134,31-Jan-2019,17:20:52,Amlankusum Timir Neel,Indian Penal Code,447,6127995645
2772,Amethi,142,12-Nov-2018,10:21:42,Aahlaad Majoo,NDPS Act,20,7979770267
7749,Agra,21,06-Mar-2020,16:12:24,Pramit Mhari,Indian Penal Code,397,6127934610
1476,Agra,29,17-Nov-2019,11:23:25,Tapasendra Seshaanath,Gambling Act,13,7478896188
6107,Amroha,145,17-Mar-2018,20:34:27,Prateek Devdutta Suppiah,Indian Penal Code,489-A,6127929493
7500,Ambedkar Nagar,75,28-Nov-2018,20:29:24,Hridayesh Madugula,Indian Penal Code,411,7286046449
1359,Ambedkar Nagar,76,08-Sep-2017,19:27:30,Nishita Sajeev,Goonda Act,3,6127905934
3727,Agra,1576,10-May-2019,13:23:17,Narasimha Srikaran,Indian Penal Code,390,7525843121
4469,Agra,18,17-Jan-2020,9:18:01,Lakshman Kolar,Indian Penal Code,379,6127997928
4328,Agra,1628,29-Mar-2020,10:42:44,Vinayak Atma Sanyukta,Immortal Traffic Prevention Act,3,6318419922
5797,Agra,21,02-Dec-2019,14:25:35,Hafiz Vasavi,Indian Penal Code,509,8209515513
1205,Ambedkar Nagar,79,06-Nov-2017,18:14:51,Suchir Saurin,Indian Penal Code,390,6127997132
8918,Ambedkar Nagar,80,07-Jul-2020,11:34:58,Pinaki Kunal,Indian Penal Code,411,6127961959
1479,Amroha,146,03-Feb-2021,5:53:27,Falguni Ghei,Indian Penal Code,295-A,8701594473
2910,Amroha,147,20-Dec-2019,17:20:33,Trambak Yegammai,Goonda Act,3,6127928495
2454,Amroha,148,12-Oct-2020,15:46:33,Harihar Revati,Indian Penal Code,390,6570423945
1563,Amethi,135,29-Jun-2018,20:37:45,Abhinava Mallya,Indian Penal Code,504,6127964678
8479,Amethi,1647,03-Jan-2018,7:21:02,Suryabhan Vaishnavi,Cow Protection,5,6120599513
7280,Amethi,134,27-Mar-2021,14:14:51,Radhakrishna Arivunambi Kasavaraju,Excise Act,60,6129595883
8181,Agra,40,10-Jan-2017,19:13:07,Mahesh Srijata,Indian Penal Code,302,6127928207
2943,Agra,1614,05-Mar-2019,18:24:40,Ashok Veerasamy,Indian Penal Code,395,6410518496
4488,Agra,42,18-Apr-2021,7:53:46,Snehanshn Ajit Privrata,SC/ST Act,3,6418455810
3503,Amethi,142,24-May-2017,16:20:30,Jalal Mudhol,Indian Penal Code,420,6768936931
8272,Amethi,145,12-Dec-2018,14:05:47,Sarvesh Govinda Tandekar,Indian Penal Code,411,7286980629
8577,Aligarh,62,26-Jan-2018,20:05:08,Umang Mainak,Indian Penal Code,489-A,6127923709
5169,Aligarh,52,24-Feb-2018,12:38:01,Sutej Shameem,Indian Penal Code,390,8917437635
2969,Aligarh,53,15-Jul-2018,10:26:15,Ramanuja Tantry,Indian Penal Code,390,7340046088
7583,Aligarh,62,23-Oct-2018,9:36:38,Deeptimoy Sravan,Indian Penal Code,411,6127955530
2269,Aligarh,69,29-Jan-2020,16:49:39,Himmat Tasneem,Indian Penal Code,470,6127962979
7388,Aligarh,1657,10-Oct-2021,15:59:36,Udyam Ghoshdashtidar,Goonda Act,3,6127923011
5529,Aligarh,63,30-Mar-2018,7:53:30,Ranjan Simha,Indian Penal Code,480,6127918467
5354,Aligarh,54,23-Dec-2019,1:07:28,Tejomay Sridevan,Indian Penal Code,504,6129926304
6240,Aligarh,1658,26-Dec-2019,19:15:38,Dhiren Kurian,Indian Penal Code,411,6122279661
1011,Aligarh,55,11-Aug-2019,1:50:31,Nityanand Natasha,Indian Penal Code,390,7298307044
