Calling Number,Called Number,Date ,Start Time,End Time,Duration,Cell1,Cell2,Cell Type,IMEI,IMSI Number,SMSC,Roam Nw
7982345234,9872356521,2-Jan-2021,21:33:02,21:58:20,0:25:18,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,2-Jan-2021,21:59:00,22:01:59,0:02:59,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8983432344,2-Jan-2021,23:13:27,23:20:21,0:06:54,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8983432344,3-Jan-2021,0:02:50,0:18:21,0:15:31,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8983432344,3-Jan-2021,6:51:00,7:12:13,0:21:13,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9823476434,3-Jan-2021,11:23:11,11:29:56,0:06:45,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9823476434,7982345234,3-Jan-2021,13:28:02,13:28:02,0:00:00,410-23-2415-12,-,SMT,4.42E+14,8.89E+13,9.84E+09,AIRTEL UP
7982345234,9412348344,3-Jan-2021,16:29:17,16:56:04,0:26:47,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9412348344,3-Jan-2021,17:00:28,17:17:32,0:17:04,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,3-Jan-2021,21:14:00,21:58:20,0:44:20,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8729364529,3-Jan-2021,22:14:21,22:30:12,0:15:51,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8729364529,3-Jan-2021,22:37:19,22:57:52,0:20:33,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,3-Jan-2021,23:18:00,23:24:06,0:06:06,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,4-Jan-2021,7:41:15,7:56:10,0:14:55,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,4-Jan-2021,10:02:19,10:20:32,0:18:13,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,4-Jan-2021,11:23:54,11:29:24,0:05:30,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9412348344,4-Jan-2021,12:51:09,12:56:28,0:05:19,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9412348344,7982345234,4-Jan-2021,13:45:00,13:48:23,0:03:23,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7343938444,7982345234,4-Jan-2021,16:32:03,16:42:34,0:10:31,410-23-2415-12,419_231414,IN,4.42E+14,8.89E+13,,AIRTEL UP
7343938444,7982345234,4-Jan-2021,17:24:14,17:33:47,0:09:33,419_231414,419_231414,IN,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,4-Jan-2021,18:14:23,18:27:01,0:12:38,419_231414,419_231414,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,4-Jan-2021,18:42:25,19:01:09,0:18:44,419_231414,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,4-Jan-2021,19:14:19,19:56:21,0:42:02,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8729364529,4-Jan-2021,20:08:19,20:18:33,0:10:14,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9412348344,7982345234,4-Jan-2021,20:23:12,20:23:12,0:00:00,410-23-2415-12,-,SMT,4.42E+14,8.89E+13,9.83E+09,AIRTEL UP
7982345234,9412348344,4-Jan-2021,20:51:41,21:11:03,0:19:22,410-23-2415-12,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,4-Jan-2021,21:19:33,21:28:03,0:08:30,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,4-Jan-2021,21:44:23,21:49:19,0:04:56,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,4-Jan-2021,21:59:02,22:14:16,0:15:14,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,4-Jan-2021,22:15:20,22:23:56,0:08:36,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,4-Jan-2021,22:43:32,22:49:48,0:06:16,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9412348344,4-Jan-2021,22:51:04,22:58:10,0:07:06,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,4-Jan-2021,23:00:23,23:07:08,0:06:45,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,7343938444,4-Jan-2021,23:19:54,23:25:40,0:05:46,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7343938444,7982345234,4-Jan-2021,23:34:33,23:37:51,0:03:18,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7343938444,7982345234,4-Jan-2021,23:41:30,23:46:02,0:04:32,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,4-Jan-2021,23:48:21,23:59:59,0:11:38,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,5-Jan-2021,0:00:00,0:30:14,-23:29:46,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,5-Jan-2021,7:00:21,7:02:33,0:02:12,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,7343938444,5-Jan-2021,8:45:12,8:50:12,0:05:00,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,5-Jan-2021,11:25:21,11:39:19,0:13:58,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9734777392,7982345234,5-Jan-2021,13:51:26,14:00:12,0:08:46,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,5-Jan-2021,16:42:34,16:51:23,0:08:49,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,5-Jan-2021,17:27:44,17:30:10,0:02:26,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,5-Jan-2021,18:02:31,18:10:02,0:07:31,410-23-2415-12,410-23-2415-12,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9734777392,5-Jan-2021,19:23:44,19:28:10,0:04:26,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,7343938444,5-Jan-2021,19:57:02,20:08:47,0:11:45,410-23-2415-12,410-23-2415-12,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,8729364529,5-Jan-2021,21:12:01,21:30:00,0:17:59,410-23-2415-12,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9412348344,7982345234,5-Jan-2021,22:18:34,22:24:12,0:05:38,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,9412348344,5-Jan-2021,22:31:24,22:45:42,0:14:18,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
9412348344,7982345234,5-Jan-2021,22:57:09,23:04:12,0:07:03,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,7343938444,5-Jan-2021,23:09:56,23:13:23,0:03:27,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
7982345234,7343938444,5-Jan-2021,23:29:31,23:39:02,0:09:31,303-32-4123-45,303-32-4123-45,OUT,4.42E+14,8.89E+13,,AIRTEL UP
8729364529,7982345234,5-Jan-2021,23:51:29,23:57:23,0:05:54,303-32-4123-45,303-32-4123-45,IN,4.42E+14,8.89E+13,,AIRTEL UP
